duplicate_group_id,dataset,file_path,sha256,size_bytes,duplicate_type,recommended_canonical_file,cross_dataset_duplicate,notes
e00001,sroie,sroie/SROIE2019/test/entities/X51005268275.txt,79f3368491ac45b46c6979d23d61c3b2c03ac3c0b8111da78d73d939be48086d,192,exact,sroie/SROIE2019/test/entities/X51005268275.txt,no,
e00001,sroie,sroie/SROIE2019/test/entities/X51005301666.txt,79f3368491ac45b46c6979d23d61c3b2c03ac3c0b8111da78d73d939be48086d,192,exact,sroie/SROIE2019/test/entities/X51005268275.txt,no,candidate for de-dup
e00002,sroie,sroie/SROIE2019/test/entities/X51005447842.txt,231061026b37eee34d965b3eba44f655676b04aee1921061e29f9ee4399f4359,181,exact,sroie/SROIE2019/test/entities/X51005447842.txt,no,
e00002,sroie,sroie/SROIE2019/test/entities/X51009447842.txt,231061026b37eee34d965b3eba44f655676b04aee1921061e29f9ee4399f4359,181,exact,sroie/SROIE2019/test/entities/X51005447842.txt,no,candidate for de-dup
e00003,sroie,sroie/SROIE2019/test/entities/X51006328937.txt,713d2574c81320050a9246702432ebff7f0bdc7cf5bfab0874172d96631a7783,151,exact,sroie/SROIE2019/test/entities/X51006328937.txt,no,
e00003,sroie,sroie/SROIE2019/train/entities/X51006329399.txt,713d2574c81320050a9246702432ebff7f0bdc7cf5bfab0874172d96631a7783,151,exact,sroie/SROIE2019/test/entities/X51006328937.txt,no,candidate for de-dup
e00004,sroie,sroie/SROIE2019/test/entities/X51006328967.txt,c1b6831372d6cd1a1704ead707988b67f61908f63159a813800033e5335d5062,203,exact,sroie/SROIE2019/test/entities/X51006328967.txt,no,
e00004,sroie,sroie/SROIE2019/train/entities/X51006332575.txt,c1b6831372d6cd1a1704ead707988b67f61908f63159a813800033e5335d5062,203,exact,sroie/SROIE2019/test/entities/X51006328967.txt,no,candidate for de-dup
e00005,sroie,sroie/SROIE2019/test/entities/X51006387931.txt,c70cb340755441246a8f6a15ccd2523ed68a489c7dbb9a212f254178f97d9d5b,184,exact,sroie/SROIE2019/test/entities/X51006387931.txt,no,
e00005,sroie,sroie/SROIE2019/train/entities/X51006387951.txt,c70cb340755441246a8f6a15ccd2523ed68a489c7dbb9a212f254178f97d9d5b,184,exact,sroie/SROIE2019/test/entities/X51006387931.txt,no,candidate for de-dup
