dataset,file_path,file_type,expected_match,match_status,reason,recommended_action
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/000aed0d-6af8-49c5-b9a4-b4df292f8b1d.txt,annotation,image(.jpg) with same stem '000aed0d-6af8-49c5-b9a4-b4df292f8b1d',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/000ba79b-4561-4228-bc9b-52e22f9f4796.txt,annotation,image(.jpg) with same stem '000ba79b-4561-4228-bc9b-52e22f9f4796',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/0012b268-a02c-43f4-9f1f-c0a9fe9095e7.txt,annotation,image(.jpg) with same stem '0012b268-a02c-43f4-9f1f-c0a9fe9095e7',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/002f209b-3228-45f6-b251-9432f7581207.txt,annotation,image(.jpg) with same stem '002f209b-3228-45f6-b251-9432f7581207',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/006a32da-f186-4b99-ba43-7bf66bcfb470.txt,annotation,image(.jpg) with same stem '006a32da-f186-4b99-ba43-7bf66bcfb470',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/0088fdba-1065-45c7-bf38-2a8f6d0cd9e4.txt,annotation,image(.jpg) with same stem '0088fdba-1065-45c7-bf38-2a8f6d0cd9e4',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/009e5c12-22f1-43b5-b609-4746d454c869.txt,annotation,image(.jpg) with same stem '009e5c12-22f1-43b5-b609-4746d454c869',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/00a3a363-a774-4919-b711-44ee219892da.txt,annotation,image(.jpg) with same stem '00a3a363-a774-4919-b711-44ee219892da',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/00b12d03-7daf-4e16-8357-1b57a4081cb7.txt,annotation,image(.jpg) with same stem '00b12d03-7daf-4e16-8357-1b57a4081cb7',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/00b79082-6ad5-4027-a32c-6a93e0a3471f.txt,annotation,image(.jpg) with same stem '00b79082-6ad5-4027-a32c-6a93e0a3471f',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/00ba33cb-e5b9-4b61-af35-f8ee0d9e9cbe.txt,annotation,image(.jpg) with same stem '00ba33cb-e5b9-4b61-af35-f8ee0d9e9cbe',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/00bb9c29-3a26-4958-ba7b-d2eef35372a9.txt,annotation,image(.jpg) with same stem '00bb9c29-3a26-4958-ba7b-d2eef35372a9',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/00c711c7-7f13-4dd1-866c-6331df6b0d73.txt,annotation,image(.jpg) with same stem '00c711c7-7f13-4dd1-866c-6331df6b0d73',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/00cec745-7aa9-4eec-8e7a-1dff66157766.txt,annotation,image(.jpg) with same stem '00cec745-7aa9-4eec-8e7a-1dff66157766',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/00e3013d-6ca8-4fd1-a8ee-ac1860ddd0fe.txt,annotation,image(.jpg) with same stem '00e3013d-6ca8-4fd1-a8ee-ac1860ddd0fe',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/00ea9043-b803-466f-aad2-ca3a67a2af38.txt,annotation,image(.jpg) with same stem '00ea9043-b803-466f-aad2-ca3a67a2af38',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/00ef39d5-ee70-4585-85af-62236ea94261.txt,annotation,image(.jpg) with same stem '00ef39d5-ee70-4585-85af-62236ea94261',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/00efb34e-b594-4976-88f5-5120da47b7e6.txt,annotation,image(.jpg) with same stem '00efb34e-b594-4976-88f5-5120da47b7e6',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/00f3d053-b2d1-4216-b96a-df31a6843b3b.txt,annotation,image(.jpg) with same stem '00f3d053-b2d1-4216-b96a-df31a6843b3b',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/00f783c5-6d25-4f92-abac-5e52dcce2b31.txt,annotation,image(.jpg) with same stem '00f783c5-6d25-4f92-abac-5e52dcce2b31',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/00fb3c64-d36f-4317-b30b-e6f56353c2f7.txt,annotation,image(.jpg) with same stem '00fb3c64-d36f-4317-b30b-e6f56353c2f7',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/00ff4f4b-0f52-40c3-b1bd-afd3d0bf6e06.txt,annotation,image(.jpg) with same stem '00ff4f4b-0f52-40c3-b1bd-afd3d0bf6e06',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/010b108a-ecdd-4810-bbb9-594bc8129d62.txt,annotation,image(.jpg) with same stem '010b108a-ecdd-4810-bbb9-594bc8129d62',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/015790f6-aa67-4398-9dca-bea616978672.txt,annotation,image(.jpg) with same stem '015790f6-aa67-4398-9dca-bea616978672',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/0164d20f-04d2-4fa3-b0aa-7a31c1b9ea21.txt,annotation,image(.jpg) with same stem '0164d20f-04d2-4fa3-b0aa-7a31c1b9ea21',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/018b8981-7b94-40f2-a610-82439569b323.txt,annotation,image(.jpg) with same stem '018b8981-7b94-40f2-a610-82439569b323',unmatched,no matching image(.jpg),review; do not delete
