project_split,cluster_id,sample_count,mean_nearest_distance,median_nearest_distance,mean_second_distance
private_test,0,16,38.07717561721802,40.008949279785156,44.004361391067505
private_test,1,16,38.03314566612244,39.98046684265137,43.76437187194824
private_test,2,390,32.03732659266545,31.213119506835938,43.34525481493045
private_test,3,390,32.03360903813289,31.19132900238037,43.29131197318053
test,0,185,49.561583781886746,51.982627868652344,54.26771671192066
test,1,209,50.83414705632406,53.80997848510742,55.01399530292127
test,2,276,41.438087214594304,42.75131797790527,45.42753493267557
test,3,274,41.2026294931008,42.44570732116699,45.259674865834036
train,0,1112,37.76542249343378,36.729631423950195,49.263601002933314
train,1,1114,37.78137659042057,36.739749908447266,49.20275038577068
train,2,1686,31.917418850981328,32.1286506652832,42.64948757008726
train,3,1688,31.97069225605065,32.1702880859375,42.6839378286877
validation,0,167,51.97328337937772,53.56208419799805,56.782947357543215
validation,1,176,52.417377645319156,53.71685218811035,56.93286254189231
validation,2,309,42.63922619742483,43.696449279785156,46.23821646187298
validation,3,324,42.44563860363431,43.637298583984375,45.9153337949588
