project_split,dataset,sample_count,accuracy,macro_f1
test,coru,240,0.36666666666666664,0.24443344878772882
test,fatura,224,0.35714285714285715,0.23809523809523808
test,funsd,240,0.42916666666666664,0.3004553966632618
test,sroie,240,0.3625,0.34833905998602843
train,coru,1400,0.5,0.36997911930795424
train,fatura,1400,0.5,0.3333333333333333
train,funsd,1400,0.5,0.3456196581196581
train,sroie,1400,0.5,0.49251610405864205
validation,coru,240,0.3541666666666667,0.27376605814739685
validation,fatura,256,0.390625,0.2604237311124976
validation,funsd,240,0.42916666666666664,0.3193752158609119
validation,sroie,240,0.3375,0.3418266670470539
