rotation_id,document_id,page_id,dataset,dataset_component,document_type,project_split,true_angle,true_zone,raw_cluster_id,predicted_zone,correct,nearest_distance,second_nearest_distance,confidence,centroid_distances,feature_configuration_hash,preprocessing_hash,model_version,image_path
rotation_00591b001faa4264,funsd_doc_8085ac95f457c4,funsd_page_c0b2994294100b,funsd,dataset,form,test,0.0,1,2,4,0,50.45842742919922,50.688533782958984,0.004539613529660336,"[58.113128662109375, 58.13823318481445, 50.45842742919922, 50.688533782958984]",888fb4999c985ba0,ec5c4e99dff310d0,kmeans-rotation-v1,data/processed/rotated_images/full/test/zone_1/funsd_page_c0b2994294100b_angle_000_zone_1.png
rotation_010bc82a72688304,funsd_doc_2e0b7e6267b3ee,funsd_page_2e1af9e89ab9c3,funsd,dataset,form,test,45.0,1,3,3,0,23.676971435546875,38.822391510009766,0.3901207392274604,"[38.822391510009766, 41.066680908203125, 40.94043731689453, 23.676971435546875]",888fb4999c985ba0,ec5c4e99dff310d0,kmeans-rotation-v1,data/processed/rotated_images/full/test/zone_1/funsd_page_2e1af9e89ab9c3_angle_045_zone_1.png
rotation_015f6369ec1bb157,funsd_doc_30fafea4eac349,funsd_page_a93d3ee2b7cd1a,funsd,dataset,form,test,135.0,2,2,4,0,31.585994720458984,39.900001525878906,0.20837108991155065,"[49.63405227661133, 45.75603485107422, 31.585994720458984, 39.900001525878906]",888fb4999c985ba0,ec5c4e99dff310d0,kmeans-rotation-v1,data/processed/rotated_images/full/test/zone_2/funsd_page_a93d3ee2b7cd1a_angle_135_zone_2.png
rotation_0192d4d1b8bf8974,funsd_doc_3efa762912a5cc,funsd_page_354e74af4349c1,funsd,dataset,form,test,91.0,2,2,4,0,41.20070266723633,44.44408416748047,0.07297667532133124,"[55.641204833984375, 50.8904914855957, 41.20070266723633, 44.44408416748047]",888fb4999c985ba0,ec5c4e99dff310d0,kmeans-rotation-v1,data/processed/rotated_images/full/test/zone_2/funsd_page_354e74af4349c1_angle_091_zone_2.png
rotation_0275082c32338e4a,fatura_doc_c1f2f6019fa95f,fatura_page_b18c1d6dc7d160,fatura,invoices_dataset_final,invoice,test,180.0,3,2,4,0,40.18595504760742,42.623985290527344,0.05719855208991319,"[54.09324264526367, 51.395904541015625, 40.18595504760742, 42.623985290527344]",888fb4999c985ba0,ec5c4e99dff310d0,kmeans-rotation-v1,data/processed/rotated_images/full/test/zone_3/fatura_page_b18c1d6dc7d160_angle_180_zone_3.png
rotation_028ef8efcd7592ee,sroie_doc_eb894fcc07d996,sroie_page_d1076bd5a73904,sroie,SROIE2019,receipt,test,90.0,2,3,3,0,42.2378044128418,43.36586380004883,0.026012611956913474,"[55.00463104248047, 55.51992416381836, 43.36586380004883, 42.2378044128418]",888fb4999c985ba0,ec5c4e99dff310d0,kmeans-rotation-v1,data/processed/rotated_images/full/test/zone_2/sroie_page_d1076bd5a73904_angle_090_zone_2.png
rotation_02a3e35495a8beaf,funsd_doc_59d95bb3db2e98,funsd_page_543a11038edae4,funsd,dataset,form,test,0.0,1,3,3,0,52.883121490478516,53.66809844970703,0.014626509638013842,"[58.20682144165039, 59.78803634643555, 53.66809844970703, 52.883121490478516]",888fb4999c985ba0,ec5c4e99dff310d0,kmeans-rotation-v1,data/processed/rotated_images/full/test/zone_1/funsd_page_543a11038edae4_angle_000_zone_1.png
rotation_02d9b48910f2da0f,funsd_doc_0f680f9afa3d22,funsd_page_3340e0e6a4395b,funsd,dataset,form,test,89.0,1,3,3,0,46.268402099609375,46.84223937988281,0.012250423717357151,"[52.70040512084961, 51.41764831542969, 46.84223937988281, 46.268402099609375]",888fb4999c985ba0,ec5c4e99dff310d0,kmeans-rotation-v1,data/processed/rotated_images/full/test/zone_1/funsd_page_3340e0e6a4395b_angle_089_zone_1.png
rotation_02f40b988a06ab74,funsd_doc_2e0b7e6267b3ee,funsd_page_2e1af9e89ab9c3,funsd,dataset,form,test,89.0,1,3,3,0,50.82328414916992,51.75811004638672,0.018061438031237734,"[54.00896072387695, 52.661354064941406, 51.75811004638672, 50.82328414916992]",888fb4999c985ba0,ec5c4e99dff310d0,kmeans-rotation-v1,data/processed/rotated_images/full/test/zone_1/funsd_page_2e1af9e89ab9c3_angle_089_zone_1.png
rotation_038a5106c9d70b8b,coru_doc_887accef93646d,coru_page_22fafa4c77697b,coru,Receipt Question Answering,receipt,test,179.0,2,0,1,0,66.3277587890625,66.57666778564453,0.0037386821068221407,"[66.3277587890625, 66.57666778564453, 73.68130493164062, 74.80425262451172]",888fb4999c985ba0,ec5c4e99dff310d0,kmeans-rotation-v1,data/processed/rotated_images/full/test/zone_2/coru_page_22fafa4c77697b_angle_179_zone_2.png
rotation_041b54755c5d574a,coru_doc_14b7e2fa72ebf2,coru_page_4aec9a498a0a1e,coru,Receipt Images & Key Information Detection,receipt,test,315.0,4,1,2,0,31.640621185302734,45.71813201904297,0.3079196417709396,"[45.71813201904297, 31.640621185302734, 49.10566711425781, 48.02592849731445]",888fb4999c985ba0,ec5c4e99dff310d0,kmeans-rotation-v1,data/processed/rotated_images/full/test/zone_4/coru_page_4aec9a498a0a1e_angle_315_zone_4.png
rotation_042f53de984091bf,fatura_doc_ed8fee4574b793,fatura_page_d9edfb267d0b7a,fatura,invoices_dataset_final,invoice,test,135.0,2,2,4,0,32.61457061767578,44.36420822143555,0.26484497469477364,"[48.86605453491211, 47.353267669677734, 32.61457061767578, 44.36420822143555]",888fb4999c985ba0,ec5c4e99dff310d0,kmeans-rotation-v1,data/processed/rotated_images/full/test/zone_2/fatura_page_d9edfb267d0b7a_angle_135_zone_2.png
rotation_04ef6712e07f25d1,fatura_doc_3dfe95c512e3d2,fatura_page_50fdb1e1014ace,fatura,invoices_dataset_final,invoice,test,270.0,4,3,3,0,45.45524978637695,46.20804214477539,0.01629137101372631,"[56.47526168823242, 56.72517013549805, 46.20804214477539, 45.45524978637695]",888fb4999c985ba0,ec5c4e99dff310d0,kmeans-rotation-v1,data/processed/rotated_images/full/test/zone_4/fatura_page_50fdb1e1014ace_angle_270_zone_4.png
rotation_05a0057aeebbedd7,fatura_doc_c0d70e40a1b0c1,fatura_page_9e0a36c750d748,fatura,invoices_dataset_final,invoice,test,1.0,1,2,4,0,38.93880081176758,39.566368103027344,0.015861129574128097,"[52.25636291503906, 50.40397262573242, 38.93880081176758, 39.566368103027344]",888fb4999c985ba0,ec5c4e99dff310d0,kmeans-rotation-v1,data/processed/rotated_images/full/test/zone_1/fatura_page_9e0a36c750d748_angle_001_zone_1.png
rotation_05ee7c9ebc7fa9c2,fatura_doc_c0d70e40a1b0c1,fatura_page_9e0a36c750d748,fatura,invoices_dataset_final,invoice,test,89.0,1,3,3,0,40.821632385253906,43.3953857421875,0.05930937847227106,"[51.89126968383789, 54.68495178222656, 43.3953857421875, 40.821632385253906]",888fb4999c985ba0,ec5c4e99dff310d0,kmeans-rotation-v1,data/processed/rotated_images/full/test/zone_1/fatura_page_9e0a36c750d748_angle_089_zone_1.png
rotation_069b4ccdaca92bb7,fatura_doc_c1f2f6019fa95f,fatura_page_b18c1d6dc7d160,fatura,invoices_dataset_final,invoice,test,179.0,2,2,4,0,38.818546295166016,42.08283615112305,0.07756820011452385,"[53.35098648071289, 50.72474670410156, 38.818546295166016, 42.08283615112305]",888fb4999c985ba0,ec5c4e99dff310d0,kmeans-rotation-v1,data/processed/rotated_images/full/test/zone_2/fatura_page_b18c1d6dc7d160_angle_179_zone_2.png
rotation_06ab69856910b88c,fatura_doc_ed8fee4574b793,fatura_page_d9edfb267d0b7a,fatura,invoices_dataset_final,invoice,test,269.0,3,2,4,0,44.73677444458008,45.42036819458008,0.015050378875651032,"[55.45154571533203, 54.32124710083008, 44.73677444458008, 45.42036819458008]",888fb4999c985ba0,ec5c4e99dff310d0,kmeans-rotation-v1,data/processed/rotated_images/full/test/zone_3/fatura_page_d9edfb267d0b7a_angle_269_zone_3.png
rotation_0791bd0d14e92bc9,sroie_doc_a2827299a6553e,sroie_page_d5f9589597f09b,sroie,SROIE2019,receipt,test,359.0,4,1,2,0,54.69873046875,55.53047180175781,0.014978106722685612,"[55.53047180175781, 54.69873046875, 62.02027130126953, 63.595733642578125]",888fb4999c985ba0,ec5c4e99dff310d0,kmeans-rotation-v1,data/processed/rotated_images/full/test/zone_4/sroie_page_d5f9589597f09b_angle_359_zone_4.png
rotation_0825e2fb3b0712e9,fatura_doc_c1f2f6019fa95f,fatura_page_b18c1d6dc7d160,fatura,invoices_dataset_final,invoice,test,45.0,1,3,3,0,32.56135940551758,46.5002326965332,0.2997592158728021,"[49.02762222290039, 49.995880126953125, 46.5002326965332, 32.56135940551758]",888fb4999c985ba0,ec5c4e99dff310d0,kmeans-rotation-v1,data/processed/rotated_images/full/test/zone_1/fatura_page_b18c1d6dc7d160_angle_045_zone_1.png
rotation_0888caf41a74bb8c,coru_doc_e202d42ecb0c1f,coru_page_a2abdb969777a9,coru,Receipt Images & Key Information Detection,receipt,test,180.0,3,1,2,0,68.2745590209961,69.20500946044922,0.013444842312822442,"[69.20500946044922, 68.2745590209961, 77.03466796875, 78.01117706298828]",888fb4999c985ba0,ec5c4e99dff310d0,kmeans-rotation-v1,data/processed/rotated_images/full/test/zone_3/coru_page_a2abdb969777a9_angle_180_zone_3.png
rotation_0895188287b3b9c8,coru_doc_cb7e92af30094b,coru_page_d622415ab6f5f9,coru,Receipt Images & Key Information Detection,receipt,test,359.0,4,1,2,0,51.70302963256836,52.999656677246094,0.024464819698245415,"[52.999656677246094, 51.70302963256836, 55.999446868896484, 56.88108825683594]",888fb4999c985ba0,ec5c4e99dff310d0,kmeans-rotation-v1,data/processed/rotated_images/full/test/zone_4/coru_page_d622415ab6f5f9_angle_359_zone_4.png
rotation_09235a688ca58569,coru_doc_14b7e2fa72ebf2,coru_page_4aec9a498a0a1e,coru,Receipt Images & Key Information Detection,receipt,test,1.0,1,1,2,0,63.010066986083984,63.5404052734375,0.008346473162569186,"[63.5404052734375, 63.010066986083984, 73.24736022949219, 73.10159301757812]",888fb4999c985ba0,ec5c4e99dff310d0,kmeans-rotation-v1,data/processed/rotated_images/full/test/zone_1/coru_page_4aec9a498a0a1e_angle_001_zone_1.png
rotation_0941d2a5f008170b,funsd_doc_d550f2e341168b,funsd_page_84bc3b7a4dcd6e,funsd,dataset,form,test,135.0,2,2,4,0,26.939546585083008,41.90602493286133,0.3571438324621933,"[50.04680633544922, 44.516258239746094, 26.939546585083008, 41.90602493286133]",888fb4999c985ba0,ec5c4e99dff310d0,kmeans-rotation-v1,data/processed/rotated_images/full/test/zone_2/funsd_page_84bc3b7a4dcd6e_angle_135_zone_2.png
